CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
2020-02-14,18:20:00,QUEENS,11103,40.762974,-73.91684,POINT (-73.91684 40.762974),,,30-63 38 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4288938,Sedan,Sedan,Sedan,,
2020-02-14,16:00:00,,,40.68668,-73.97937,POINT (-73.97937 40.68668),FLATBUSH AVENUE,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4292504,Sedan,Sedan,,,
2020-02-14,02:30:00,,,40.69383,-73.82888,POINT (-73.82888 40.69383),118 STREET,,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Driver Inattention/Distraction,,,,4288112,Station Wagon/Sport Utility Vehicle,Sedan,,,
2020-02-14,17:20:00,,,40.719864,-73.94486,POINT (-73.94486 40.719864),BROOKLYN QUEENS EXPRESSWAY,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4290089,Sedan,Pick-up Truck,,,
2020-02-14,14:30:00,,,40.76294,-73.86067,POINT (-73.86067 40.76294),GRAND CENTRAL PKWY,,,0,0,0,0,0,0,0,0,Following Too Closely,Reaction to Uninvolved Vehicle,,,,4288626,Sedan,Station Wagon/Sport Utility Vehicle,,,
2020-02-14,01:35:00,,,40.753838,-73.805824,POINT (-73.805824 40.753838),161 STREET,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,Unspecified,Unspecified,,4288157,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,
2020-02-14,10:40:00,,,40.756424,-73.7403,POINT (-73.7403 40.756424),LONG ISLAND EXPRESSWAY,,,0,0,0,0,0,0,0,0,Following Too Closely,Unsafe Lane Changing,Unspecified,,,4288432,Box Truck,Box Truck,Station Wagon/Sport Utility Vehicle,,
2020-02-14,16:25:00,QUEENS,11102,40.77211,-73.93013,POINT (-73.93013 40.77211),ASTORIA BOULEVARD,12 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4288936,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
2020-02-14,20:11:00,,,40.738544,-73.80089,POINT (-73.80089 40.738544),HORACE HARDING EXPRESSWAY,168 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4288602,Sedan,,,,
2020-02-14,07:00:00,,,40.716133,-73.8185,POINT (-73.8185 40.716133),GRAND CENTRAL PKWY,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4288185,Station Wagon/Sport Utility Vehicle,Sedan,,,
2020-02-14,15:30:00,BRONX,10462,40.83121,-73.850876,POINT (-73.850876 40.83121),CASTLE HILL AVENUE,POWELL AVENUE,,0,0,0,0,0,0,0,0,Tinted Windows,Unspecified,,,,4289228,Sedan,Sedan,,,
2020-02-14,12:30:00,MANHATTAN,10001,40.745552,-73.989395,POINT (-73.989395 40.745552),,,44 WEST 28 STREET,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4288436,Bike,,,,
2020-02-14,11:33:00,BRONX,10466,40.89339,-73.857376,POINT (-73.857376 40.89339),WHITE PLAINS ROAD,EAST 233 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4289629,Sedan,Station Wagon/Sport Utility Vehicle,,,
2020-02-14,15:10:00,QUEENS,11385,40.7122,-73.86208,POINT (-73.86208 40.7122),COOPER AVENUE,METROPOLITAN AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4289032,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2020-02-14,16:20:00,BRONX,10455,40.819637,-73.916595,POINT (-73.916595 40.819637),,,395 EAST 154 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4289537,Bus,Sedan,,,
2020-02-14,14:30:00,BROOKLYN,11215,40.668182,-73.97548,POINT (-73.97548 40.668182),,,569 4 STREET,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4289500,Ambulance,Station Wagon/Sport Utility Vehicle,,,
2020-02-14,01:15:00,,,40.71445,-73.9306,POINT (-73.9306 40.71445),GRAND STREET,METROPOLITAN AVENUE,,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4289077,Bike,Sedan,,,
2020-02-14,16:55:00,BRONX,10453,40.861862,-73.91282,POINT (-73.91282 40.861862),WEST FORDHAM ROAD,MAJOR DEEGAN EXPRESSWAY,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,4288605,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
